mms_ref,supplier_name,supplier_ref
MMS-AG-00001,TVH,129TA9881
MMS-AG-00002,TVH,147TA4122
MMS-AG-00003,TVH,147TA4136
MMS-AG-00004,TVH,138TA4538
MMS-AG-00005,TVH,138TA4541
MMS-AG-00006,TVH,134TA3676
MMS-AG-00007,TVH,108TA4058
MMS-AG-00008,TVH,147TA4150
MMS-AG-00009,TVH,108TA4053
MMS-AG-00010,TVH,108TA4052
MMS-AG-00011,TVH,107TA6863
MMS-AG-00012,TVH,166TA6798
MMS-AG-00013,TVH,129TA9982
MMS-AG-00014,TVH,147TA4164
MMS-AG-00015,TVH,108TA3945
MMS-AG-00016,TVH,107TA6779
MMS-AG-00017,TVH,147TA4170
MMS-AG-00018,TVH,152TA8896
MMS-AG-00019,TVH,166TA6797
MMS-AG-00020,TVH,130TA1013
MMS-AG-00021,TVH,130TA1012
MMS-AG-00022,TVH,152TA8898
MMS-AG-00023,TVH,147TA4184
MMS-AG-00024,TVH,129TA9997
MMS-AG-00025,TVH,108TA3941
MMS-AG-00026,TVH,108TA3916
MMS-AG-00027,TVH,166TA6782
MMS-AG-00028,TVH,129TA9998
MMS-AG-00029,TVH,166TA6789
MMS-AG-00030,TVH,129TA9976
MMS-AG-00031,TVH,147TA4192
MMS-AG-00032,TVH,147TA4191
MMS-AG-00033,TVH,152TA8897
MMS-AG-00034,TVH,147TA4179
MMS-AG-00035,TVH,130TA1004
MMS-AG-00036,TVH,166TA6785
MMS-AG-00037,TVH,147TA4207
MMS-AG-00038,TVH,166TA6786
MMS-AG-00039,TVH,166TA6799
MMS-AG-00040,TVH,147TA4160
MMS-AG-00041,TVH,147TA4211
MMS-AG-00042,TVH,166TA6780
MMS-AG-00043,TVH,147TA4178
MMS-AG-00044,TVH,147TA4214
MMS-AG-00045,TVH,166TA6788
MMS-AG-00046,TVH,147TA4218
MMS-AG-00047,TVH,166TA6784
MMS-AG-00048,TVH,147TA4221
MMS-AG-00049,TVH,129TA9978
MMS-AG-00050,TVH,166TA6790
MMS-AG-00051,TVH,166TA6781
MMS-AG-00052,TVH,147TA4224
MMS-AG-00053,TVH,147TA4223
MMS-AG-00054,TVH,166TA6792
MMS-AG-00055,TVH,147TA4226
MMS-AG-00056,TVH,166TA6779
MMS-AG-00057,TVH,166TA6791
MMS-AG-00058,TVH,166TA6783
MMS-AG-00059,TVH,116TA5176
MMS-AG-00060,TVH,152TA8899
MMS-AG-00061,TVH,147TA4227
MMS-AG-00062,TVH,166TA6787
MMS-AG-00063,TVH,166TA6793
MMS-AG-00064,TVH,166TA6795
MMS-AG-00065,TVH,166TA6796
MMS-AG-00066,TVH,116TA5177
MMS-AT-00001,TVH,166TA7636
MMS-AT-00002,TVH,142TA7599
MMS-AT-00003,TVH,143TA5940
MMS-AT-00004,TVH,166TA7637
MMS-AT-00005,TVH,166TA7638
MMS-AT-00006,TVH,165TA9788
MMS-AT-00007,TVH,166TA2279
MMS-AT-00008,TVH,127TA7367
MMS-AT-00009,TVH,166TA3181
MMS-AT-00010,TVH,167TA2224
MMS-AT-00011,TVH,166TA7639
MMS-AT-00012,TVH,152TA1875
MMS-AT-00013,TVH,167TA2225
MMS-AT-00014,TVH,143TA6905
MMS-AT-00015,TVH,166TA1570
MMS-AT-00016,TVH,145TA9268
MMS-AT-00017,TVH,143TA3560
MMS-AT-00018,TVH,143TA3503
MMS-AT-00019,TVH,166TA7641
MMS-AT-00020,TVH,143TA3501
MMS-AT-00021,TVH,143TA3499
MMS-AT-00022,TVH,123TA5111
MMS-AT-00023,TVH,126TA4417
MMS-AT-00024,TVH,107TA7980
MMS-AT-00025,TVH,162TA4717
MMS-BA-00001,TVH,111TA1720
MMS-BA-00002,TVH,129TA7529
MMS-BA-00003,TVH,117TA7359
MMS-BA-00004,TVH,129TA7361
MMS-BA-00005,TVH,111TA1833
MMS-BA-00006,TVH,129TA7363
MMS-BA-00007,TVH,129TA7360
MMS-BA-00008,TVH,129TA7365
MMS-BA-00009,TVH,129TA7421
MMS-BA-00010,TVH,129TA7362
MMS-BA-00011,TVH,111TA1725
MMS-BA-00012,TVH,129TA7366
MMS-BA-00013,TVH,129TA7372
MMS-BA-00014,TVH,129TA7531
MMS-BA-00015,TVH,129TA7364
MMS-BA-00016,TVH,129TA7371
MMS-BA-00017,TVH,129TA7373
MMS-BA-00018,TVH,129TA7369
MMS-BA-00019,TVH,129TA7530
MMS-BA-00020,TVH,111TA1731
MMS-BA-00021,TVH,111TA1739
MMS-BA-00022,TVH,129TA7377
MMS-BA-00023,TVH,129TA7532
MMS-BA-00024,TVH,129TA7388
MMS-BA-00025,TVH,129TA7378
MMS-BA-00026,TVH,111TA1727
MMS-BA-00027,TVH,111TA1734
MMS-BA-00028,TVH,129TA7375
MMS-BA-00029,TVH,129TA7368
MMS-BA-00030,TVH,111TA1834
MMS-BA-00031,TVH,129TA7389
MMS-BA-00032,TVH,111TA1736
MMS-BA-00033,TVH,129TA7370
MMS-BA-00034,TVH,129TA7396
MMS-BA-00035,TVH,111TA1370
MMS-BA-00036,TVH,111TA1351
MMS-BA-00037,TVH,129TA7379
MMS-BA-00038,TVH,129TA7367
MMS-BA-00039,TVH,129TA7394
MMS-BA-00040,TVH,129TA7533
MMS-BA-00041,TVH,129TA7376
MMS-BA-00042,TVH,129TA7535
MMS-BA-00043,TVH,129TA7374
MMS-BA-00044,TVH,111TA1764
MMS-BA-00045,TVH,129TA7522
MMS-BA-00046,TVH,129TA7383
MMS-BA-00047,TVH,129TA7409
MMS-BA-00048,TVH,129TA7524
MMS-BA-00049,TVH,129TA7414
MMS-BA-00050,TVH,129TA7380
MMS-BA-00051,TVH,129TA7519
MMS-BA-00052,TVH,129TA7419
MMS-BA-00053,TVH,129TA7382
MMS-BA-00054,TVH,129TA7420
MMS-BA-00055,TVH,129TA7534
MMS-BA-00056,TVH,129TA7422
MMS-BA-00057,TVH,129TA7538
MMS-BA-00058,TVH,129TA7536
MMS-BA-00059,TVH,111TA1780
MMS-BA-00060,TVH,129TA7539
MMS-BA-00061,TVH,129TA7408
MMS-BA-00062,TVH,129TA7523
MMS-BA-00063,TVH,111TA1776
MMS-BA-00064,TVH,129TA7424
MMS-BA-00065,TVH,129TA7425
MMS-BA-00066,TVH,111TA1465
MMS-BA-00067,TVH,129TA7410
MMS-BA-00068,TVH,129TA7526
MMS-BA-00069,TVH,129TA7411
MMS-BA-00070,TVH,129TA7427
MMS-BA-00071,TVH,129TA7428
MMS-BA-00072,TVH,129TA7381
MMS-BA-00073,TVH,129TA7386
MMS-BA-00074,TVH,129TA7392
MMS-BA-00075,TVH,111TA1755
MMS-BA-00076,TVH,129TA7521
MMS-BA-00077,TVH,105TA4626
MMS-BA-00078,TVH,129TA7393
MMS-BA-00079,TVH,129TA7384
MMS-BA-00080,TVH,129TA7415
MMS-BA-00081,TVH,129TA7426
MMS-BA-00082,TVH,129TA7390
MMS-BA-00083,TVH,129TA7520
MMS-BA-00084,TVH,129TA7397
MMS-BA-00085,TVH,111TA1774
MMS-BA-00086,TVH,129TA7399
MMS-BA-00087,TVH,129TA7416
MMS-BA-00088,TVH,129TA7385
MMS-BA-00089,TVH,129TA7400
MMS-BA-00090,TVH,111TA1296
MMS-BA-00091,TVH,129TA7429
MMS-BA-00092,TVH,129TA7391
MMS-BA-00093,TVH,129TA7401
MMS-BA-00094,TVH,111TA1374
MMS-BA-00095,TVH,129TA7404
MMS-BA-00096,TVH,129TA7471
MMS-BA-00097,TVH,129TA7407
MMS-BA-00098,TVH,129TA7537
MMS-BA-00099,TVH,111TA1768
MMS-BA-00100,TVH,129TA7525
MMS-BA-00101,TVH,111TA1783
MMS-BA-00102,TVH,129TA7412
MMS-BA-00103,TVH,129TA7527
MMS-BA-00104,TVH,111TA1772
MMS-BA-00105,TVH,129TA7395
MMS-BA-00106,TVH,111TA1788
MMS-BA-00107,TVH,129TA7433
MMS-BA-00108,TVH,129TA7398
MMS-BA-00109,TVH,129TA7436
MMS-BA-00110,TVH,115TA5846
MMS-BA-00111,TVH,129TA7438
MMS-BA-00112,TVH,129TA7402
MMS-BA-00113,TVH,129TA7417
MMS-BA-00114,TVH,129TA7405
MMS-BA-00115,TVH,129TA7413
MMS-BA-00116,TVH,129TA7452
MMS-BA-00117,TVH,129TA7423
MMS-BA-00118,TVH,129TA7387
MMS-BA-00119,TVH,111TA1359
MMS-BA-00120,TVH,129TA7453
MMS-BA-00121,TVH,111TA1799
MMS-BA-00122,TVH,111TA1841
MMS-BA-00123,TVH,111TA1784
MMS-BA-00124,TVH,111TA1839
MMS-BA-00125,TVH,129TA7455
MMS-BA-00126,TVH,129TA7545
MMS-BA-00127,TVH,111TA1377
MMS-BA-00128,TVH,129TA7403
MMS-BA-00129,TVH,111TA1778
MMS-BA-00130,TVH,111TA1779
MMS-BA-00131,TVH,129TA7460
MMS-BA-00132,TVH,129TA7461
MMS-BA-00133,TVH,129TA7434
MMS-BA-00134,TVH,129TA7435
MMS-BA-00135,TVH,129TA7541
MMS-BA-00136,TVH,129TA7459
MMS-BA-00137,TVH,111TA1807
MMS-BA-00138,TVH,129TA7437
MMS-BA-00139,TVH,129TA7439
MMS-BA-00140,TVH,129TA7443
MMS-BA-00141,TVH,129TA7546
MMS-BA-00142,TVH,111TA1378
MMS-BA-00143,TVH,129TA7446
MMS-BA-00144,TVH,129TA7406
MMS-BA-00145,TVH,129TA7449
MMS-BA-00146,TVH,129TA7454
MMS-BA-00147,TVH,129TA7540
MMS-BA-00148,TVH,129TA7462
MMS-BA-00149,TVH,129TA7432
MMS-BA-00150,TVH,111TA1794
MMS-BA-00151,TVH,129TA7456
MMS-BA-00152,TVH,129TA7467
MMS-BA-00153,TVH,129TA7466
MMS-BA-00154,TVH,129TA7445
MMS-BA-00155,TVH,111TA1796
MMS-BA-00156,TVH,129TA7418
MMS-BA-00157,TVH,129TA7468
MMS-BA-00158,TVH,129TA7469
MMS-BA-00159,TVH,129TA7430
MMS-BA-00160,TVH,129TA7431
MMS-BA-00161,TVH,111TA1791
MMS-BA-00162,TVH,129TA7470
MMS-BA-00163,TVH,111TA1813
MMS-BA-00164,TVH,129TA7440
MMS-BA-00165,TVH,111TA1809
MMS-BA-00166,TVH,129TA7457
MMS-BA-00167,TVH,111TA1795
MMS-BA-00168,TVH,111TA1810
MMS-BA-00169,TVH,129TA7447
MMS-BA-00170,TVH,129TA7463
MMS-BA-00171,TVH,111TA1286
MMS-BA-00172,TVH,129TA7450
MMS-BA-00173,TVH,129TA7474
MMS-BA-00174,TVH,111TA1812
MMS-BA-00175,TVH,129TA7441
MMS-BA-00176,TVH,111TA1802
MMS-BA-00177,TVH,111TA1803
MMS-BA-00178,TVH,129TA7543
MMS-BA-00179,TVH,129TA7448
MMS-BA-00180,TVH,129TA7544
MMS-BA-00181,TVH,129TA7473
MMS-BA-00182,TVH,111TA1814
MMS-BA-00183,TVH,129TA7451
MMS-BA-00184,TVH,129TA7475
MMS-BA-00185,TVH,129TA7477
MMS-BA-00186,TVH,105TA4632
MMS-BA-00187,TVH,129TA7464
MMS-BA-00188,TVH,111TA1817
MMS-BA-00189,TVH,129TA7481
MMS-BA-00190,TVH,129TA7483
MMS-BA-00191,TVH,111TA1815
MMS-BA-00192,TVH,129TA7484
MMS-BA-00193,TVH,129TA7482
MMS-BA-00194,TVH,111TA1816
MMS-BA-00195,TVH,129TA7442
MMS-BA-00196,TVH,129TA7444
MMS-BA-00197,TVH,129TA7485
MMS-BA-00198,TVH,129TA7490
MMS-BA-00199,TVH,111TA1818
MMS-BA-00200,TVH,111TA1252
MMS-BA-00201,TVH,111TA1319
MMS-BA-00202,TVH,111TA1255
MMS-BA-00203,TVH,129TA7465
MMS-BA-00204,TVH,129TA7486
MMS-BA-00205,TVH,111TA1822
MMS-BA-00206,TVH,129TA7492
MMS-BA-00207,TVH,111TA1829
MMS-BA-00208,TVH,111TA1821
MMS-BA-00209,TVH,129TA7491
MMS-BA-00210,TVH,129TA7476
MMS-BA-00211,TVH,129TA7472
MMS-BA-00212,TVH,111TA1384
MMS-BA-00213,TVH,129TA7493
MMS-BA-00214,TVH,129TA7495
MMS-BA-00215,TVH,111TA1824
MMS-BA-00216,TVH,111TA1826
MMS-BA-00217,TVH,111TA1825
MMS-BA-00218,TVH,129TA7497
MMS-BA-00219,TVH,129TA7498
MMS-BA-00220,TVH,111TA1811
MMS-BA-00221,TVH,111TA1844
MMS-BA-00222,TVH,129TA7478
MMS-BA-00223,TVH,129TA7547
MMS-BA-00224,TVH,129TA7479
MMS-BA-00225,TVH,111TA1845
MMS-BA-00226,TVH,111TA1828
MMS-BA-00227,TVH,129TA7487
MMS-BA-00228,TVH,129TA7488
MMS-BA-00229,TVH,129TA7489
MMS-BA-00230,TVH,129TA7494
MMS-BA-00231,TVH,111TA1827
MMS-BA-00232,TVH,129TA7496
MMS-BA-00233,TVH,129TA7500
MMS-BA-00234,TVH,129TA7499
MMS-BA-00235,TVH,129TA7501
MMS-BA-00236,TVH,129TA7502
MMS-BA-00237,TVH,129TA7503
MMS-BA-00238,TVH,129TA7504
MMS-BA-00239,TVH,129TA7505
MMS-BA-00240,TVH,129TA7506
MMS-BA-00241,TVH,129TA7507
MMS-BA-00242,TVH,129TA7508
MMS-BA-00243,TVH,111TA1830
MMS-BA-00244,TVH,129TA7509
MMS-BA-00245,TVH,129TA7510
MMS-BA-00246,TVH,129TA7511
MMS-BA-00247,TVH,129TA7512
MMS-BA-00248,TVH,129TA7513
MMS-BA-00249,TVH,129TA7514
MMS-BA-00250,TVH,129TA7515
MMS-BA-00251,TVH,129TA7516
MMS-BA-00252,TVH,129TA7517
MMS-BA-00253,TVH,129TA7518
MMS-CL-00001,TVH,166TA6658
MMS-CL-00002,TVH,166TA6654
MMS-CL-00003,TVH,166TA6659
MMS-CL-00004,TVH,166TA6657
MMS-CL-00005,TVH,166TA6656
MMS-CL-00006,TVH,145TA9112
MMS-CL-00007,TVH,145TA9114
MMS-CL-00008,TVH,139TA7661
MMS-CL-00009,TVH,166TA6655
MMS-CL-00010,TVH,108TA3907
MMS-CL-00011,TVH,108TA8558
MMS-CL-00012,TVH,145TA9128
MMS-CL-00013,TVH,145TA9131
MMS-CL-00014,TVH,165TA4504
MMS-CL-00015,TVH,166TA6660
MMS-CL-00016,TVH,145TA9136
MMS-CL-00017,TVH,129TA9844
MMS-CL-00018,TVH,141TA4895
MMS-CL-00019,TVH,128TA3436
MMS-CL-00020,TVH,145TA9133
MMS-CL-00021,TVH,138TA7515
MMS-CL-00022,TVH,129TA9847
MMS-CL-00023,TVH,138TA7514
MMS-CL-00024,TVH,127TA2419
MMS-CL-00025,TVH,145TA9140
MMS-CL-00026,TVH,160TA5700
MMS-CO-00001,TVH,166TA6661
MMS-CO-00002,TVH,107TA6846
MMS-NE-00001,TVH,139TA7658
MMS-NE-00002,TVH,139TA7657
MMS-NE-00003,TVH,166TA8655
MMS-NE-00004,TVH,151TA2920
MMS-NE-00005,TVH,129TA9505
MMS-NE-00006,TVH,166TA8613
MMS-NE-00007,TVH,140TA1400
MMS-NE-00008,TVH,166TA8607
MMS-NE-00009,TVH,166TA8680
MMS-NE-00010,TVH,151TA2923
MMS-NE-00011,TVH,166TA8667
MMS-NE-00012,TVH,166TA8674
MMS-NE-00013,TVH,151TA2601
MMS-NE-00014,TVH,166TA8652
MMS-NE-00015,TVH,166TA8661
MMS-NE-00016,TVH,127TA2952
MMS-NE-00017,TVH,151TA2602
MMS-NE-00018,TVH,166TA8614
MMS-NE-00019,TVH,151TA2924
MMS-NE-00020,TVH,129TA9515
MMS-NE-00021,TVH,139TA7659
MMS-NE-00022,TVH,140TA7659
MMS-NE-00023,TVH,151TA2603
MMS-NE-00024,TVH,166TA8676
MMS-NE-00025,TVH,151TA2925
MMS-NE-00026,TVH,151TA2926
MMS-NE-00027,TVH,151TA2927
MMS-NE-00028,TVH,139TA6808
MMS-NE-00029,TVH,151TA2604
MMS-NE-00030,TVH,166TA8651
